period,stateid,stateDescription,sectorid,sectorName,customers,price,revenue,sales,customers-units,price-units,revenue-units,sales-units
2025-01,MO,Missouri,TRA,transportation,2,8.17,.22054,2.69835,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,MS,Mississippi,ALL,all sectors,1607715,10.82,470.43497,4348.74743,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,MS,Mississippi,COM,commercial,248526,12.42,140.19033,1128.90126,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,MS,Mississippi,IND,industrial,10960,6.81,89.35822,1311.39221,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,MS,Mississippi,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,MS,Mississippi,RES,residential,1348229,12.62,240.88643,1908.45396,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,MS,Mississippi,TRA,transportation,0,0,0,0,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,MT,Montana,ALL,all sectors,716093,10.25,152.20084,1484.99492,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,MT,Montana,COM,commercial,142071,10.37,48.41182,467.06084,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,MT,Montana,IND,industrial,10409,8.09,30.06225,371.55222,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,MT,Montana,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,MT,Montana,RES,residential,563613,11.41,73.72677,646.38187,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,MT,Montana,TRA,transportation,0,0,0,0,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,MTN,Mountain,ALL,all sectors,12511130,10.77,2734.23593,25395.72706,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,MTN,Mountain,COM,commercial,1545141,10.46,953.45263,9116.19164,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,MTN,Mountain,IND,industrial,98719,7.4,511.32603,6906.14208,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,MTN,Mountain,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,MTN,Mountain,RES,residential,10867265,13.55,1268.0552,9359.15939,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,MTN,Mountain,TRA,transportation,5,9.85,1.40207,14.23394,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,NC,North Carolina,ALL,all sectors,5882497,11.05,1540.98545,13942.54714,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,NC,North Carolina,COM,commercial,753474,9.94,422.70976,4252.94638,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,NC,North Carolina,IND,industrial,8762,8.07,165.73672,2052.74306,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,NC,North Carolina,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,NC,North Carolina,RES,residential,5120260,12.47,952.41927,7635.65234,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,NC,North Carolina,TRA,transportation,1,9.93,.11969,1.20536,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
